                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.332,                0.98643,                 1.1382,                0.67483,                0.30494,                 0.3371,                0.16625,                 2.3098,                 1.6838,                 1.7618,             0.00082959,             0.00082959,             0.00082959
                     69,                 1.3468,                0.96638,                 1.1306,                 0.6169,                0.31013,                 0.3368,                0.17341,                 2.1957,                 1.6372,                  1.673,             0.00080417,             0.00080417,             0.00080417
                     70,                 1.3092,                0.94575,                 1.1305,                0.60165,                0.29506,                0.31645,                0.14403,                 2.4031,                 1.7821,                 1.7963,             0.00077889,             0.00077889,             0.00077889
                     71,                 1.2745,                0.92999,                 1.1108,                0.52283,                0.33704,                0.32598,                 0.1631,                 2.2836,                 1.6559,                 1.6955,             0.00075377,             0.00075377,             0.00075377
                     72,                 1.2658,                 0.8954,                 1.1055,                0.64201,                0.32716,                0.34548,                0.16689,                 2.2287,                  1.627,                 1.6946,             0.00072882,             0.00072882,             0.00072882
                     73,                 1.2656,                0.89645,                 1.0944,                0.65801,                0.31235,                 0.3496,                0.16492,                 2.2508,                 1.6396,                 1.7014,             0.00070407,             0.00070407,             0.00070407
                     74,                 1.2865,                0.91816,                 1.1116,                0.52078,                0.29506,                0.29839,                0.13552,                 2.4293,                 1.8505,                 1.8071,             0.00067953,             0.00067953,             0.00067953
                     75,                  1.163,                0.83661,                 1.0606,                0.51479,                0.32469,                0.32836,                0.15333,                 2.3139,                  1.759,                 1.7163,             0.00065522,             0.00065522,             0.00065522
                     76,                 1.2576,                0.92137,                 1.1212,                0.71084,                0.31235,                0.37479,                0.18804,                 2.1962,                 1.6111,                 1.6612,             0.00063114,             0.00063114,             0.00063114
                     77,                 1.2173,                0.88177,                 1.0815,                0.59476,                0.35432,                0.37337,                0.18969,                 2.2051,                 1.5989,                 1.6712,             0.00060733,             0.00060733,             0.00060733
                     78,                 1.2253,                 0.8758,                 1.0816,                0.62786,                0.29993,                0.31845,                0.15015,                 2.3727,                 1.7052,                 1.7458,             0.00058379,             0.00058379,             0.00058379
                     79,                 1.1866,                0.85255,                 1.0666,                0.70154,                0.33372,                0.37952,                0.18703,                 2.1776,                 1.5399,                 1.6699,             0.00056055,             0.00056055,             0.00056055
                     80,                 1.1405,                 0.8256,                 1.0709,                0.62759,                0.35576,                 0.3781,                0.18241,                 2.1882,                  1.532,                 1.6876,             0.00053761,             0.00053761,             0.00053761
                     81,                 1.1645,                0.84342,                 1.0733,                0.63868,                0.37407,                0.39542,                0.19889,                 2.1671,                 1.5685,                 1.6949,               0.000515,               0.000515,               0.000515
                     82,                 1.1354,                0.81104,                 1.0556,                0.67772,                0.31852,                0.35853,                0.17455,                 2.3026,                 1.6298,                 1.7627,             0.00049273,             0.00049273,             0.00049273
                     83,                 1.1438,                0.81849,                 1.0576,                0.59597,                0.36296,                0.37442,                0.19045,                 2.1645,                  1.526,                 1.6599,             0.00047081,             0.00047081,             0.00047081
                     84,                 1.1172,                0.80519,                 1.0499,                0.68394,                0.33951,                0.38663,                0.19645,                 2.1258,                 1.4882,                 1.6378,             0.00044926,             0.00044926,             0.00044926
                     85,                 1.1583,                0.84493,                 1.0808,                0.59637,                0.31975,                0.33639,                0.16289,                 2.2918,                 1.6493,                 1.7099,             0.00042809,             0.00042809,             0.00042809
                     86,                 1.1698,                0.83259,                 1.0596,                0.73949,                0.30494,                0.36018,                0.18162,                 2.2686,                 1.6394,                 1.7456,             0.00040733,             0.00040733,             0.00040733
                     87,                 1.1533,                0.83318,                 1.0669,                0.63643,                0.35062,                0.37519,                0.18837,                 2.1578,                 1.5194,                 1.6674,             0.00038697,             0.00038697,             0.00038697
                     88,                 1.0969,                0.79141,                 1.0477,                0.64822,                 0.3642,                0.38977,                0.19553,                  2.193,                 1.5085,                 1.6797,             0.00036705,             0.00036705,             0.00036705
                     89,                 1.1156,                0.80983,                 1.0535,                0.72709,                 0.3321,                 0.3809,                0.19087,                 2.1672,                 1.5197,                 1.6669,             0.00034756,             0.00034756,             0.00034756
                     90,                 1.1171,                0.80319,                 1.0516,                0.61391,                0.36543,                0.39143,                0.20065,                 2.1218,                 1.4566,                 1.6468,             0.00032853,             0.00032853,             0.00032853
                     91,                 1.0744,                0.77028,                 1.0207,                0.61694,                0.35193,                0.38401,                 0.1893,                 2.1852,                 1.5469,                 1.6866,             0.00030996,             0.00030996,             0.00030996
                     92,                 1.0812,                0.75167,                 1.0255,                0.64134,                0.36867,                0.39239,                0.19879,                 2.1239,                 1.4671,                 1.6432,             0.00029188,             0.00029188,             0.00029188
                     93,                 1.0757,                0.75837,                 1.0255,                0.58411,                0.35926,                0.37633,                0.18943,                 2.1903,                 1.5242,                 1.6759,             0.00027429,             0.00027429,             0.00027429
                     94,                 1.0247,                0.72776,                 1.0039,                0.61273,                0.35062,                 0.3713,                0.18177,                 2.2073,                 1.5467,                 1.6969,              0.0002572,              0.0002572,              0.0002572
                     95,                 1.0389,                0.74205,                 1.0195,                0.64354,                0.37531,                0.39506,                0.20964,                  2.054,                  1.437,                  1.609,             0.00024063,             0.00024063,             0.00024063
                     96,                  1.069,                0.75912,                 1.0235,                0.60136,                0.37654,                0.39025,                  0.194,                 2.1179,                 1.4862,                 1.6596,             0.00022458,             0.00022458,             0.00022458
                     97,                 1.0722,                0.76828,                 1.0211,                0.67087,                0.35556,                0.39925,                0.20267,                 2.1609,                 1.4953,                 1.6679,             0.00020907,             0.00020907,             0.00020907
                     98,                 1.0474,                0.75944,                 1.0263,                0.62932,                0.35062,                0.37625,                0.18844,                 2.2195,                 1.5454,                 1.6939,             0.00019412,             0.00019412,             0.00019412
                     99,                 1.0375,                0.74011,                  1.019,                0.63545,                0.37407,                0.38425,                 0.1924,                 2.1854,                 1.5027,                 1.6915,             0.00017972,             0.00017972,             0.00017972
                    100,                0.99784,                0.71882,                 1.0169,                 0.6439,                0.38148,                0.39745,                0.20433,                 2.0897,                 1.4457,                 1.6445,             0.00016589,             0.00016589,             0.00016589
                    101,                 1.0434,                0.73857,                 1.0194,                0.62655,                 0.3679,                0.39081,                0.19835,                 2.1377,                 1.4635,                 1.6667,             0.00015263,             0.00015263,             0.00015263
                    102,                 1.0041,                0.71536,                0.99911,                0.63186,                0.35432,                0.37081,                0.18103,                 2.2615,                 1.5715,                 1.7155,             0.00013997,             0.00013997,             0.00013997
                    103,                0.97178,                0.69595,                 1.0033,                 0.6201,                0.35926,                0.37104,                0.18187,                 2.2606,                 1.5565,                 1.7234,              0.0001279,              0.0001279,              0.0001279
                    104,                 1.0389,                0.74657,                 1.0354,                 0.6327,                0.36543,                0.38457,                0.19374,                 2.2229,                 1.5094,                 1.7022,             0.00011644,             0.00011644,             0.00011644
                    105,                0.99646,                0.69804,                0.98951,                0.64124,                0.34815,                0.37992,                0.18876,                 2.2402,                 1.5534,                 1.7112,             0.00010559,             0.00010559,             0.00010559
                    106,                0.99621,                0.71657,                0.99812,                0.67361,                0.37901,                0.40553,                0.20496,                 2.1419,                 1.4873,                   1.67,             9.5359e-05,             9.5359e-05,             9.5359e-05
                    107,                0.96509,                0.68993,                 0.9912,                0.66308,                0.39012,                0.41431,                0.21744,                 2.0939,                 1.4337,                 1.6548,             8.5755e-05,             8.5755e-05,             8.5755e-05
                    108,                 1.0053,                0.71604,                 1.0106,                0.64081,                0.38104,                0.41473,                0.21268,                 2.1065,                 1.4456,                 1.6495,             7.6785e-05,             7.6785e-05,             7.6785e-05
                    109,                0.97281,                  0.701,                0.99735,                0.70394,                0.35802,                0.40888,                0.20387,                  2.129,                 1.4807,                 1.6621,             6.8454e-05,             6.8454e-05,             6.8454e-05
                    110,                0.97901,                0.71048,                 1.0036,                0.66205,                 0.3679,                  0.396,                0.20397,                 2.1281,                 1.4839,                 1.6632,             6.0768e-05,             6.0768e-05,             6.0768e-05
                    111,                 1.3408,                 1.0064,                 1.2383,                0.65002,                0.36914,                0.39642,                0.20037,                 2.0948,                 1.4592,                 1.6461,             5.3733e-05,             5.3733e-05,             5.3733e-05
                    112,                 1.3021,                0.98323,                 1.2075,                0.68021,                0.37037,                0.40631,                0.20683,                 2.1078,                 1.4408,                 1.6518,             4.7354e-05,             4.7354e-05,             4.7354e-05
                    113,                 1.2545,                0.93656,                 1.1928,                0.63127,                 0.3741,                0.40427,                0.20662,                 2.1503,                 1.4515,                 1.6722,             4.1634e-05,             4.1634e-05,             4.1634e-05
                    114,                 1.2424,                0.92817,                 1.1882,                0.61974,                0.38272,                0.40071,                0.20317,                 2.1552,                 1.4542,                 1.6751,             3.6578e-05,             3.6578e-05,             3.6578e-05
                    115,                 1.2125,                0.94373,                 1.1724,                0.65857,                0.36667,                0.39775,                0.20423,                 2.1414,                 1.4589,                  1.669,             3.2189e-05,             3.2189e-05,             3.2189e-05
                    116,                 1.2069,                0.91364,                 1.1639,                0.68582,                0.38148,                0.41289,                0.21056,                  2.103,                 1.4256,                 1.6533,              2.847e-05,              2.847e-05,              2.847e-05
                    117,                 1.2125,                 0.9229,                 1.1687,                0.65562,                0.37901,                0.40979,                0.20902,                 2.1164,                 1.4331,                 1.6541,             2.5423e-05,             2.5423e-05,             2.5423e-05
                    118,                  1.222,                0.93419,                 1.1846,                0.65282,                0.38642,                0.41221,                0.20913,                 2.1116,                 1.4199,                 1.6572,             2.3052e-05,             2.3052e-05,             2.3052e-05
                    119,                 1.2044,                0.91467,                 1.1575,                0.65435,                0.39498,                0.41509,                0.20774,                 2.1179,                 1.4206,                 1.6644,             2.1357e-05,             2.1357e-05,             2.1357e-05
                    120,                 1.2119,                0.91134,                 1.1665,                0.67046,                0.39136,                0.41829,                0.20777,                  2.125,                 1.4261,                 1.6688,             2.0339e-05,             2.0339e-05,             2.0339e-05
