                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.6268,                 1.3024,                 1.3075,                0.54034,                0.28148,                0.29324,                0.13696,                  2.395,                 2.0081,                  1.801,              0.0012912,              0.0012912,              0.0012912
                     51,                 1.6433,                 1.2741,                 1.2945,                0.54618,                0.28272,                0.28255,                 0.1467,                 2.3296,                 2.1455,                  1.739,              0.0012662,              0.0012662,              0.0012662
                     52,                 1.6255,                 1.2595,                 1.3015,                0.53752,                0.26296,                0.27159,                 0.1314,                 2.3699,                 2.2344,                 1.7894,              0.0012411,              0.0012411,              0.0012411
                     53,                 1.5791,                 1.2245,                 1.2893,                0.57667,                0.29506,                0.29608,                0.14499,                  2.343,                 1.9269,                 1.7609,              0.0012158,              0.0012158,              0.0012158
                     54,                 1.6574,                 1.2989,                 1.3201,                0.56544,                0.28272,                0.28305,                0.13514,                 2.4936,                 2.0897,                 1.8011,              0.0011904,              0.0011904,              0.0011904
                     55,                 1.5659,                 1.2018,                 1.2586,                0.60322,                0.29506,                0.31407,                0.17181,                 2.2075,                 1.9403,                 1.6896,              0.0011649,              0.0011649,              0.0011649
                     56,                 1.6118,                 1.2359,                 1.2753,                0.65989,                0.31852,                0.33456,                0.17923,                 2.0828,                 1.7345,                 1.6707,              0.0011392,              0.0011392,              0.0011392
                     57,                 1.5207,                 1.1745,                 1.2556,                0.70023,                0.29506,                 0.3342,                0.18184,                 2.1708,                 1.8168,                 1.6807,              0.0011135,              0.0011135,              0.0011135
                     58,                 1.5042,                 1.1405,                 1.2276,                0.59577,                0.28642,                0.31214,                0.15148,                  2.358,                 1.8949,                 1.7508,              0.0010877,              0.0010877,              0.0010877
                     59,                 1.4941,                  1.148,                 1.2417,                0.64915,                0.29012,                0.31374,                0.16145,                 2.1902,                 1.8319,                 1.6823,              0.0010618,              0.0010618,              0.0010618
                     60,                  1.518,                 1.1457,                  1.231,                0.67399,                0.30883,                0.33213,                0.17172,                 2.2163,                 1.7356,                 1.6661,              0.0010359,              0.0010359,              0.0010359
                     61,                 1.5124,                 1.1645,                 1.2381,                0.67568,                0.32593,                 0.3444,                0.18047,                 2.0748,                 1.7237,                 1.6258,                0.00101,                0.00101,                0.00101
                     62,                 1.4591,                 1.1186,                 1.2234,                0.64722,                0.31936,                0.34419,                0.18797,                 2.1388,                 1.7464,                 1.6351,             0.00098408,             0.00098408,             0.00098408
                     63,                 1.4719,                 1.1317,                 1.2216,                0.63935,                0.31111,                 0.3333,                0.16924,                 2.2158,                 1.7991,                 1.6658,             0.00095819,             0.00095819,             0.00095819
                     64,                 1.4634,                 1.1283,                 1.1929,                0.61435,                0.29753,                 0.3072,                0.15749,                 2.2809,                 1.8938,                  1.692,             0.00093233,             0.00093233,             0.00093233
                     65,                 1.4204,                 1.0755,                 1.1956,                0.66203,                0.31196,                0.34836,                0.19284,                 2.0053,                 1.7059,                 1.5911,             0.00090652,             0.00090652,             0.00090652
