                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.8079,                  1.514,                 1.4195,                0.68462,                0.28675,                 0.3193,                0.16029,                 2.3248,                 1.9929,                 1.6656,              0.0007638,              0.0007638,              0.0007638
                     60,                 1.7797,                 1.4888,                  1.412,                0.59791,                0.32716,                0.34185,                0.17485,                 2.2979,                 1.9356,                 1.6624,              0.0007338,              0.0007338,              0.0007338
                     61,                 1.7835,                 1.4639,                 1.3997,                 0.6383,                0.30719,                0.33605,                0.17928,                 2.2296,                 1.9385,                 1.6279,             0.00070407,             0.00070407,             0.00070407
                     62,                 1.8655,                 1.6007,                 1.4771,                0.64312,                 0.3137,                  0.341,                0.15849,                 2.4161,                 1.9705,                  1.712,             0.00067465,             0.00067465,             0.00067465
                     63,                 1.7271,                 1.4263,                 1.3907,                0.66135,                0.32716,                 0.3538,                0.16963,                 2.3355,                 1.9697,                 1.6867,             0.00064556,             0.00064556,             0.00064556
                     64,                 1.7562,                 1.4276,                 1.3911,                0.61235,                0.33704,                0.34668,                0.17301,                 2.2004,                 1.9087,                 1.6408,             0.00061682,             0.00061682,             0.00061682
                     65,                 1.6808,                 1.3694,                 1.3585,                0.62089,                0.31358,                0.33268,                0.17363,                 2.3166,                  1.989,                 1.6655,             0.00058848,             0.00058848,             0.00058848
                     66,                 1.6652,                 1.3683,                 1.3507,                0.66199,                0.33086,                0.35681,                0.16863,                  2.397,                   1.94,                 1.6956,             0.00056055,             0.00056055,             0.00056055
                     67,                 1.6669,                 1.3528,                 1.3371,                0.69061,                0.34444,                0.37201,                 0.1946,                 2.1912,                 1.8654,                 1.6231,             0.00053306,             0.00053306,             0.00053306
                     68,                 1.6995,                  1.393,                 1.3654,                0.62451,                0.33457,                0.35262,                0.17758,                  2.348,                 1.9685,                 1.6771,             0.00050605,             0.00050605,             0.00050605
                     69,                 1.6751,                 1.3644,                 1.3519,                0.58563,                0.34024,                0.36025,                0.18237,                 2.2776,                 1.9641,                  1.652,             0.00047953,             0.00047953,             0.00047953
                     70,                 1.6508,                 1.3539,                 1.3551,                0.69983,                0.31374,                0.36499,                 0.1936,                 2.1833,                 1.8646,                 1.6079,             0.00045354,             0.00045354,             0.00045354
                     71,                 1.6102,                 1.3085,                 1.3334,                 0.6026,                0.35062,                0.37713,                 0.1975,                 2.1924,                 1.8773,                 1.6159,             0.00042809,             0.00042809,             0.00042809
                     72,                 1.6475,                  1.328,                 1.3331,                0.68384,                0.33333,                0.36986,                0.19721,                 2.1564,                 1.8573,                 1.5992,             0.00040322,             0.00040322,             0.00040322
                     73,                 1.6563,                 1.3207,                 1.3075,                0.70741,                0.33457,                0.38536,                0.20648,                 2.0779,                 1.8055,                 1.5802,             0.00037895,             0.00037895,             0.00037895
