                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1711,                0.81462,                 1.0628,                 0.6984,                0.36592,                0.38368,                  0.198,                 2.1208,                 1.4981,                  1.588,             0.00042809,             0.00042809,             0.00042809
                     72,                  1.136,                 0.7872,                 1.0505,                0.75068,                0.38395,                0.41749,                0.22572,                 1.9735,                 1.3861,                 1.5066,             0.00040322,             0.00040322,             0.00040322
                     73,                 1.1336,                0.78659,                 1.0375,                0.70515,                 0.3963,                0.41713,                0.24159,                 1.9148,                 1.3683,                 1.4882,             0.00037895,             0.00037895,             0.00037895
                     74,                   1.14,                0.79648,                 1.0576,                0.71953,                0.37531,                0.40232,                0.21835,                 1.9947,                 1.4101,                 1.5313,              0.0003553,              0.0003553,              0.0003553
                     75,                  1.071,                0.74646,                 1.0193,                0.67764,                0.39383,                0.40924,                0.22732,                 1.9609,                   1.41,                 1.5095,              0.0003323,              0.0003323,              0.0003323
                     76,                 1.1075,                0.79903,                 1.0587,                0.69745,                 0.3899,                0.41469,                0.22964,                 1.9648,                 1.3913,                  1.497,             0.00030996,             0.00030996,             0.00030996
                     77,                 1.0774,                0.75498,                 1.0202,                0.72064,                0.39259,                0.41353,                0.22508,                 1.9618,                 1.3835,                  1.496,             0.00028832,             0.00028832,             0.00028832
                     78,                 1.0742,                0.75784,                 1.0275,                0.67765,                0.38889,                0.40482,                0.22035,                 1.9464,                 1.3906,                 1.5019,             0.00026739,             0.00026739,             0.00026739
                     79,                  1.064,                0.73716,                 1.0221,                0.65177,                0.38642,                0.40305,                0.21688,                 1.9738,                 1.4022,                 1.5085,             0.00024719,             0.00024719,             0.00024719
                     80,                  1.015,                0.72347,                 1.0212,                0.69341,                0.38272,                0.41499,                 0.2255,                   1.97,                 1.3779,                 1.4944,             0.00022775,             0.00022775,             0.00022775
                     81,                 1.0245,                0.72801,                 1.0212,                0.69193,                0.39012,                0.42248,                 0.2361,                 1.9301,                 1.3674,                 1.4785,             0.00020907,             0.00020907,             0.00020907
                     82,                 1.0079,                0.72041,                 1.0108,                0.67396,                0.38765,                0.41057,                 0.2248,                  1.978,                 1.3994,                 1.5064,             0.00019119,             0.00019119,             0.00019119
                     83,                 1.0235,                0.71613,                 1.0136,                0.70304,                0.37654,                0.41066,                0.23451,                 1.9196,                 1.3817,                 1.4874,             0.00017412,             0.00017412,             0.00017412
                     84,                 1.0105,                0.71274,                 1.0092,                 0.7182,                 0.3679,                0.40839,                0.23403,                 1.9236,                   1.42,                 1.5008,             0.00015787,             0.00015787,             0.00015787
                     85,                 1.0488,                0.75077,                 1.0389,                0.67872,                0.38025,                0.40674,                0.22365,                 1.9563,                 1.4277,                 1.5166,             0.00014246,             0.00014246,             0.00014246
                     86,                 1.0415,                0.73663,                 1.0186,                0.67939,                0.37901,                0.41091,                0.22594,                 1.9351,                 1.3986,                 1.5062,              0.0001279,              0.0001279,              0.0001279
                     87,                 1.0054,                0.72992,                 1.0154,                0.68192,                0.38889,                0.41375,                0.23114,                 1.9223,                 1.3963,                 1.4841,             0.00011422,             0.00011422,             0.00011422
                     88,                0.98314,                0.70073,                 1.0005,                0.69714,                0.38519,                0.41488,                0.23341,                 1.9108,                 1.3865,                 1.4878,             0.00010142,             0.00010142,             0.00010142
                     89,                 0.9958,                 0.7188,                 1.0186,                0.68745,                0.38831,                0.41798,                0.23175,                 1.9398,                 1.3653,                 1.4935,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     90,                0.98563,                0.70709,                 1.0109,                0.73257,                0.37538,                0.42524,                0.24195,                 1.9041,                   1.35,                 1.4774,             7.8528e-05,             7.8528e-05,             7.8528e-05
                     91,                 1.3161,                0.98884,                  1.204,                0.72507,                0.37443,                0.41679,                 0.2238,                 1.9697,                 1.3745,                 1.5223,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     92,                 1.2749,                0.95407,                 1.1873,                0.72983,                0.37352,                0.40988,                0.21618,                 2.0025,                 1.3739,                 1.5502,             5.9309e-05,             5.9309e-05,             5.9309e-05
                     93,                  1.257,                0.93975,                 1.2043,                0.66534,                0.39516,                0.41283,                0.21979,                 2.0041,                 1.3681,                 1.5476,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     94,                 1.2348,                0.92297,                 1.1781,                0.69924,                0.39753,                0.41792,                0.22612,                 1.9895,                 1.3571,                 1.5338,             4.3842e-05,             4.3842e-05,             4.3842e-05
                     95,                 1.2193,                0.93099,                 1.1837,                0.71141,                0.39753,                0.42305,                0.22863,                 1.9782,                  1.348,                 1.5236,             3.7536e-05,             3.7536e-05,             3.7536e-05
                     96,                  1.217,                0.92664,                 1.1715,                0.69732,                    0.4,                0.42484,                 0.2292,                 1.9853,                 1.3511,                 1.5288,             3.2189e-05,             3.2189e-05,             3.2189e-05
                     97,                 1.2012,                0.88994,                 1.1381,                0.70927,                0.40358,                0.43055,                0.23152,                  1.973,                 1.3451,                 1.5261,             2.7806e-05,             2.7806e-05,             2.7806e-05
                     98,                 1.2074,                0.90375,                 1.1509,                 0.7291,                0.39012,                0.42739,                0.22819,                 1.9873,                 1.3533,                 1.5348,             2.4394e-05,             2.4394e-05,             2.4394e-05
                     99,                 1.1895,                0.90898,                  1.154,                0.72851,                0.39259,                0.42691,                 0.2233,                 2.0042,                 1.3612,                 1.5424,             2.1954e-05,             2.1954e-05,             2.1954e-05
                    100,                 1.2063,                0.89588,                 1.1512,                0.72357,                0.39136,                0.43028,                0.22832,                  1.983,                 1.3475,                 1.5328,             2.0489e-05,             2.0489e-05,             2.0489e-05
